8	3	A3	1	0	0	0	10
22	3	D4	26	CA	0	0	0
5	23	24	0C	0	80	0	0
10	81	63	26	CA	26	CA	26
30	12	0	68	3F	4C	0	68
21	66	26	2	25	9E	0A	28
22	0C	80	0E	10	10	68	12
23	C0	14	50	16	A8	19	0
24	1A	90	1C	20	1D	B0	21
25	98	1	F4	2	8A	3	52
26	3	5C	4	4C	4	E2	7E
27	F4	7E	F4	7E	F4	7E	F4
28	7E	F4	7E	F4	7E	F4	7E
29	F4	7E	F4	7E	F4	7E	F4
2A	7E	F4	27	10	27	10	27
2B	10	27	10	27	10	27	10
2C	27	10	27	10	27	10	27
2D	10	27	10	27	10	27	10
2E	27	10	27	10	27	10	27
2F	10	27	10	27	10	27	10
20	27	10	27	10	27	10	27
21	10	27	10	27	10	27	10
22	27	10	27	10	0	0	0
5	23	24	0C	80	80	0	0
10	81	63	27	10	27	10	27
30	12	0	68	3F	4C	0	68
21	10	27	10	27	10	27	10
22	27	10	27	10	27	10	27
23	10	27	10	27	10	27	10
24	27	10	27	10	27	10	27
25	10	27	10	27	10	27	10
26	27	10	27	10	27	10	27
27	10	27	10	27	10	27	10
28	27	10	27	10	27	10	27
29	10	0F	A0	11	30	13	88
2A	17	70	1A	90	1C	20	1D
2B	B0	21	98	0	0	1	F4
2C	3	E8	5	DC	7	D0	9
